source_table,source_row,source_cell_count,source_section,existing_doc_no,new_doc_no,document_title,doc_type,version,revision_date,storage_location,minimum_retention_time,archive_disposal_instruction,status_remarks
1,4,10,FORECASTING,,MET SOP-001-01,SOP for Senior Level Meteorological Technician,SOP,2,18th Nov. 2025,,,,
1,5,10,FORECASTING,QP 750 – 06,MET SOP-002-01,Procedure for Public Forecast,SOP,1,28th Dec 2011,,,,
1,6,10,FORECASTING,QP 423 – 07,MET SOP- 003-01,Procedure for weather briefing government agencies,SOP,1,"21st Jan.
2012",M:\QMS DOCUMENTS\Weather briefing for government agencies.pdf,2 years,Destroy,
1,7,10,FORECASTING,QP 750 – 04,MET SOP-003-02,Procedure for Flight Folder & Weather Briefing,SOP,1,20th Dec 2011,Procedure Flight folder and weather briefing,1 year,Archive,
1,9,10,FORECASTING,NA,MET SOP-004-01,Generation of Marine Bulletin,SOP,2,18th Nov. 2025,,,,
1,11,10,FORECASTING,F 423-01,MET F – 001-01,Model Monitoring Spreadsheet,Form,1,15th Dec 2011,,Not Applicable,Archive,*Has to be updated
1,12,10,FORECASTING,F 750-02,MET F – 002-01,Public Forecast Form (today & tonight),Form,3,15th July 2026,Forecast book,1 year,Archive,
1,13,10,FORECASTING,F 750-03,MET F – 002-02,Public Forecast Form (afternoon & tonight),Form,3,15th July 2026,Forecast book,1 year,Archive,
1,14,10,FORECASTING,F 750-04,MET F – 002-03,Public Forecast Form (tonight & 3-day),Form,3,15th July 2026,Forecast book,1 year,Archive,
1,15,10,FORECASTING,F 423-02,MET F-003-001,Flight Folder & Weather Briefing Records Sheet,Form,2,28th Jul 2021,,,,
1,16,10,FORECASTING,F 750-08,MET F-003-02,Flight Folder & Weather Briefing Records Sheet,Form,1,20th Dec 2011,Assigned folder, 2 years,Archive,
1,17,10,FORECASTING,F 750 – 06,MET F-004-01,Issued Bulletins,Form,,11th Jan. 2012, Folder for Issued Warnings,1 year,Destroy,
1,18,10,FORECASTING,F 820-03,MET F-005-01,Debriefing form,Form,1,11th Jan 2012,Assigned folder,6 months,Archive,
1,20,10,FORECASTING,QP 750 – 05,MET QP-002-01,Flow Chart for TAF,Chart,,18th an 2012,Flow Chart for TAF,1 year,Archive,
1,23,10,FORECASTING,WI 423 – 04,MET WI-001,"Instructions For
Starting Windgridds
",Work Instruction,,4th Jan 2012,,,,
1,24,10,FORECASTING,WI 750-01,MET WI-002-01,TAF Preparation,Work Instruction,,23rd Dec 2011,,1 year,"Archive
Update needed as method has changed",
1,25,10,FORECASTING,WI 423-03,MET WI- 004-01,Record and Store model output & weather bulletin,Work Instruction,,23rd Dec 2011,Assigned Clipboard,6 months,Destroy,
1,26,10,FORECASTING,WI 750-06,MET WI-004-02,Issuing of Early Warning,Work Instruction,,,,2 years,"Archive
Needs to be updated to reflect CAP",
1,27,10,FORECASTING,WI 423-02,MET WI-005-01,Briefing Incoming Shift,Work Instruction,,4th Jan 2012,Work instruction for briefing incoming shift.pdf,1 year,Destroy,
1,32,10,CLIMATOLOGY,QP 720-02,MET SOP-005,Customer related Processes,SOP,1,9th jan,CUSTOMER-RELATED,2 years,Archive,
1,33,10,CLIMATOLOGY,QP 720 - 03,MET SOP-006,Procedure for handling verbal order,SOP,1,6th Jan 2012,Procedure for handling Verbal Order,2 years,Archive,
1,36,10,CLIMATOLOGY,F 423 – 03,MET F-009,CL 2 form,Form,1,1st Jan 2012,,Not Applicable,Archive,
1,37,10,CLIMATOLOGY,F 720 – 01,MET F-010,Verbal Order Form,Form ,1,6th Jan 2012,Assigned folder,2 years,Archive,
1,40,10,CLIMATOLOGY,WI 423-10,MET WI-006,Work Instruction for Climatological Documentation and Record,Work Instruction,2,4th Mar 2014,Work Instructions for Climo Data Entry.pdf,1 year,"Archive
Needs to be updated to include the use of the eregister",
1,44,10,OBSERVATION,F 750-07,MET F-011,Aerodrome Meteorological Observation (METAR Pad),Form,1,15th Dec 2011,Cupboards AIS and MET,1 year,Destroy,
1,46,10,OBSERVATION,,MET SOP-010,Procedure for Issuance of SPECI,SOP,2,18th Nov 2025,,,,
1,47,10,OBSERVATION,,MET SOP-011,Procedure for Issuance of METAR,SOP,2,18th Nov 2025,,,,
1,49,10,OBSERVATION,***,MET SOP-012,SOP for Entry Level Meteorological Technician,SOP,2,6th Jan. 2026,,,,
1,52,10,OBSERVATION,QP 750 – 08,MET QP-002,Flowchart for METAR (TGPY),Chart,1,19th Jan 2012,Flowchart for METAR (TGPY),1 year,Archive,
1,54,10,OBSERVATION,QP 423 – 08,MET WI-007,Work Instruction for plotting synoptic charts,Work Instructions,1,10th Feb. 2012,,Not Applicable,Archive,
1,55,10,OBSERVATION,WI 423 – 12,MET WI-009,Changing charts for weather parameters & muslin,Work Instructions,1,13th Jan. 2012,Work instruction for changing charts & muslin.pdf,1 year,Archive,
1,57,10,INSTRUMENTS,F-760-01,MET F-012,Table for Control of Monitoring & Measuring Equipment,Form,1,17th Feb 2012,,3 years,Archive,
